iter	Passed	Remaining
0	156	156462
1	158	79257
2	160	53425
3	162	40427
4	163	32620
5	165	27421
6	167	23825
7	169	21065
8	171	18887
9	173	17171
10	175	15762
11	177	14579
12	179	13622
13	181	12763
14	182	12012
15	184	11355
16	186	10791
17	188	10270
18	190	9825
19	192	9434
20	194	9056
21	196	8725
22	198	8419
23	199	8124
24	201	7854
25	203	7625
26	205	7406
27	207	7195
28	209	7009
29	211	6824
30	212	6647
31	214	6491
32	216	6356
33	218	6217
34	220	6077
35	222	5961
36	224	5843
37	226	5732
38	228	5631
39	230	5535
40	232	5431
41	234	5351
42	236	5263
43	238	5182
44	241	5120
45	242	5039
46	244	4966
47	247	4899
48	248	4827
49	250	4757
50	252	4691
51	253	4627
52	255	4573
53	257	4512
54	259	4452
55	260	4395
56	262	4340
57	264	4290
58	265	4240
59	267	4192
60	269	4152
61	271	4104
62	272	4058
63	274	4017
64	276	3978
65	278	3935
66	279	3894
67	281	3862
68	283	3823
69	284	3784
70	286	3748
71	288	3718
72	290	3686
73	291	3653
74	293	3619
75	295	3589
76	296	3559
77	298	3528
78	300	3504
79	302	3473
80	303	3444
81	305	3416
82	306	3386
83	308	3360
84	310	3337
85	312	3317
86	313	3292
87	315	3267
88	317	3245
89	318	3222
90	320	3199
91	321	3177
92	323	3157
93	325	3136
94	327	3117
95	328	3095
96	330	3075
97	332	3058
98	333	3038
99	335	3021
100	337	3003
101	339	2985
102	340	2968
103	342	2952
104	344	2936
105	346	2919
106	347	2902
107	350	2895
108	352	2879
109	353	2862
110	355	2847
111	356	2830
112	358	2813
113	360	2798
114	362	2787
115	363	2772
116	365	2754
117	366	2742
118	368	2731
119	370	2718
120	372	2708
121	374	2697
122	376	2686
123	378	2674
124	380	2661
125	381	2647
126	382	2629
127	383	2615
128	385	2602
129	386	2589
130	388	2577
131	390	2565
132	391	2553
133	393	2543
134	395	2537
135	397	2525
136	399	2517
137	401	2506
138	402	2495
139	404	2484
140	406	2476
141	407	2462
142	409	2454
143	411	2448
144	413	2439
145	415	2428
146	416	2418
147	418	2409
148	420	2401
149	422	2391
150	423	2382
151	425	2374
152	427	2367
153	429	2359
154	431	2352
155	433	2343
156	435	2335
157	436	2328
158	438	2320
159	440	2313
160	441	2302
161	443	2293
162	445	2285
163	446	2277
164	449	2273
165	450	2264
166	452	2255
167	453	2247
168	455	2240
169	457	2233
170	459	2225
171	460	2217
172	462	2210
173	464	2203
174	466	2197
175	468	2193
176	470	2188
177	472	2181
178	474	2176
179	476	2170
180	477	2162
181	479	2155
182	481	2148
183	482	2141
184	484	2136
185	486	2131
186	488	2125
187	490	2118
188	492	2112
189	493	2105
190	495	2099
191	497	2094
192	499	2090
193	501	2082
194	502	2076
195	504	2070
196	506	2064
197	508	2060
198	510	2055
199	512	2048
200	513	2042
201	515	2036
202	517	2032
203	519	2026
204	521	2021
205	522	2014
206	524	2009
207	526	2003
208	527	1996
209	529	1992
210	531	1988
211	533	1982
212	535	1978
213	537	1973
214	539	1968
215	540	1963
216	542	1958
217	544	1954
218	546	1950
219	548	1944
220	550	1939
221	551	1933
222	553	1930
223	555	1924
224	557	1919
225	558	1914
226	561	1911
227	562	1905
228	564	1900
229	566	1895
230	567	1890
231	569	1885
232	571	1880
233	573	1875
234	574	1869
235	576	1865
236	578	1860
237	580	1857
238	581	1851
239	583	1846
240	584	1841
241	586	1837
242	588	1832
243	590	1828
244	592	1825
245	593	1820
246	595	1815
247	597	1810
248	599	1806
249	600	1801
250	602	1797
251	603	1791
252	605	1786
253	606	1782
254	608	1778
255	610	1774
256	612	1770
257	613	1765
258	615	1761
259	617	1757
260	619	1753
261	621	1750
262	623	1747
263	625	1743
264	626	1738
265	628	1735
266	630	1731
267	632	1727
268	634	1723
269	636	1719
270	637	1715
271	639	1710
272	641	1707
273	643	1704
